"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksbanut  ","P",04/25/2022 10:00,0,1,2         ,1         ,"",0.01,<0>  ,0.147,<0>  ,0.008,<0>  ,0.416,<0>  ,0.424,<0>  ,2.9,<0>  ,
"lksbanut  ","P",04/25/2022 12:00,0,1,2         ,1         ,"",0.009,<0>  ,0.151,<0>  ,0.009,<0>  ,0.434,<0>  ,0.443,<0>  ,8.3,<0>  ,
"lksbanut  ","P",04/25/2022 14:00,0,1,2         ,1         ,"",0.01,<0>  ,0.172,<0>  ,0.007,<0>  ,0.446,<0>  ,0.453,<0>  ,8.8,<0>  ,
"lksbanut  ","P",04/25/2022 16:00,0,1,2         ,1         ,"",0.011,<0>  ,0.15,<0>  ,0.008,<0>  ,0.449,<0>  ,0.457,<0>  ,11.3,<0>  ,
"lksbanut  ","P",04/25/2022 18:00,0,1,2         ,1         ,"",0.012,<0>  ,0.205,<0>  ,0.009,<0>  ,0.46,<0>  ,0.469,<0>  ,4.3,<0>  ,
"lksbanut  ","P",04/25/2022 20:00,0,1,2         ,1         ,"",0.011,<0>  ,0.179,<0>  ,0.007,<-4> [SBL] ,"",<-4> [SCB] ,0.464,<0>  ,7.2,<0>  ,
"lksbanut  ","P",04/25/2022 22:00,0,1,2         ,1         ,"",0.01,<0>  ,0.183,<0>  ,0.008,<0>  ,0.449,<0>  ,0.457,<0>  ,8.1,<0>  ,
"lksbanut  ","P",04/26/2022 0:00,0,1,2         ,1         ,"",0.014,<0>  ,0.24,<0>  ,0.009,<0>  ,0.454,<0>  ,0.463,<0>  ,6.6,<0>  ,
"lksbanut  ","P",04/26/2022 2:00,0,1,2         ,1         ,"",0.014,<0>  ,0.425,<0>  ,0.01,<0>  ,0.45,<0>  ,0.46,<0>  ,5.3,<0>  ,
"lksbanut  ","P",04/26/2022 4:00,0,1,2         ,1         ,"",0.013,<0>  ,0.312,<0>  ,0.008,<0>  ,0.459,<0>  ,0.467,<0>  ,7.2,<0>  ,
"lksbanut  ","P",04/26/2022 6:00,0,1,2         ,1         ,"",0.013,<0>  ,0.28,<0>  ,0.01,<0>  ,0.457,<0>  ,0.467,<0>  ,6.9,<0>  ,
"lksbanut  ","P",04/26/2022 8:00,0,1,2         ,1         ,"",0.012,<0>  ,0.356,<0>  ,0.01,<0>  ,0.442,<0>  ,0.452,<0>  ,6.2,<0>  ,
"lksbanut  ","P",04/26/2022 9:06,0,1,1         ,1         ,"",0.012,<0>  ,0.323,<0>  ,0.01,<0>  ,0.46,<0>  ,0.47,<0>  ,7.0,<0>  ,
"lksbanut  ","P",04/26/2022 9:10,0,1,1         ,2         ,"",0.013,<0>  ,0.323,<0>  ,0.01,<0>  ,0.455,<0>  ,0.465,<0>  ,7.1,<0>  ,
"lksbanut  ","P",05/30/2022 10:00,0,1,2         ,1         ,"",0.011,<0>  ,0.071,<0>  ,0.008,<0>  ,0.184,<0>  ,0.192,<0>  ,12.4,<0>  ,
"lksbanut  ","P",05/30/2022 12:00,0,1,2         ,1         ,"",0.01,<0>  ,0.076,<0>  ,0.009,<1> (CHB) ,0.184,<0>  ,0.193,<0>  ,12.6,<0>  ,
"lksbanut  ","P",05/30/2022 14:00,0,1,2         ,1         ,"",0.011,<0>  ,0.073,<0>  ,0.008,<1> (CHB) ,0.183,<0>  ,0.191,<0>  ,11.0,<0>  ,
"lksbanut  ","P",05/30/2022 16:00,0,1,2         ,1         ,"",0.011,<0>  ,0.072,<0>  ,0.007,<1> (CHB) ,0.183,<0>  ,0.19,<0>  ,13.4,<0>  ,
