"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksolnut  ","P",06/02/2022 9:49,0,1,1         ,1         ,"",0.01,<0>  ,0.026,<0>  ,0.008,<1> (CHB) ,0.114,<0>  ,0.122,<0>  ,3.4,<0>  ,
"lksolnut  ","P",06/02/2022 9:52,0,1,1         ,2         ,"",0.01,<0>  ,0.023,<0>  ,0.008,<1> (CHB) ,0.114,<0>  ,0.122,<0>  ,3.4,<0>  ,
"lksolnut  ","P",06/28/2022 8:15,0,1,1         ,1         ,"",0.015,<0>  ,0.026,<0>  ,0.008,<1> (CHB) ,0.154,<0>  ,0.162,<0>  ,1.8,<0>  ,
"lksolnut  ","P",06/28/2022 8:17,0,1,1         ,2         ,"",0.016,<0>  ,0.025,<0>  ,0.01,<1> (CHB) ,0.15,<0>  ,0.16,<0>  ,2.6,<0>  ,
"lksolnut  ","P",08/02/2022 8:07,0,1,1         ,1         ,"",0.017,<0>  ,0.023,<0>  ,0.007,<-4> [SBL] ,"",<-4> [SCB] ,0.181,<0>  ,2.8,<0>  ,
"lksolnut  ","P",08/02/2022 8:10,0,1,1         ,2         ,"",0.017,<0>  ,0.023,<0>  ,0.007,<-4> [SBL] ,"",<-4> [SCB] ,0.182,<0>  ,2.8,<0>  ,
"lksolnut  ","P",08/31/2022 8:15,0,1,1         ,1         ,"",0.011,<0>  ,0.016,<0>  ,0.007,<-4> [SBL] (CSM) ,"",<-4> [SCB] ,0.146,<0>  ,3.6,<0>  ,
"lksolnut  ","P",08/31/2022 8:17,0,1,1         ,2         ,"",0.012,<0>  ,0.015,<0>  ,0.007,<-4> [SBL] (CSM) ,"",<-4> [SCB] ,0.146,<0>  ,3.5,<0>  ,
"lksolnut  ","P",09/28/2022 8:37,0,1,1         ,1         ,"",0.013,<0>  ,0.018,<1> (CHB) ,0.007,<-4> [SBL] ,"",<-4> [SCB] ,0.203,<0>  ,2.7,<0>  ,
"lksolnut  ","P",09/28/2022 8:39,0,1,1         ,2         ,"",0.013,<0>  ,0.022,<1> (CHB) ,0.007,<-4> [SBL] ,"",<-4> [SCB] ,0.202,<0>  ,2.6,<0>  ,
"lksolnut  ","P",10/26/2022 8:45,0,1,1         ,1         ,"",0.01,<0>  ,0.027,<0>  ,0.007,<-4> [SBL] ,"",<-4> [SCB] ,0.043,<0>  ,3.0,<0>  ,
"lksolnut  ","P",10/26/2022 8:47,0,1,1         ,2         ,"",0.01,<0>  ,0.025,<0>  ,0.007,<-4> [SBL] ,"",<-4> [SCB] ,0.046,<0>  ,3.0,<0>  ,

