"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksponut  ","P",06/02/2022 10:25,0,1,1         ,1         ,"",0.044,<0>  ,0.029,<0>  ,0.007,<1> (CHB) ,0.049,<0>  ,0.056,<1> [SRD] ,4.4,<0>  ,
"lksponut  ","P",06/02/2022 10:27,0,1,1         ,2         ,"",0.031,<0>  ,0.024,<0>  ,0.007,<-4> [SBL] (CSM) ,"",<-4> [SCB] ,0.028,<1> [SRD] ,3.4,<0>  ,
"lksponut  ","P",06/28/2022 8:50,0,1,1         ,1         ,"",0.045,<0>  ,0.023,<0>  ,0.007,<-4> [SBL] (CSM) ,"",<-4> [SCB] ,0.067,<0>  ,3.9,<0>  ,
"lksponut  ","P",06/28/2022 8:51,0,1,1         ,2         ,"",0.04,<0>  ,0.02,<0>  ,0.008,<1> (CHB) ,0.057,<0>  ,0.065,<0>  ,6.6,<0>  ,
"lksponut  ","P",08/02/2022 8:56,0,1,1         ,1         ,"",0.026,<0>  ,0.008,<-4> [SBL] ,0.007,<-4> [SBL] ,"",<-4> [SCB] ,0.005,<-4> [SBL] ,11.4,<0>  ,
"lksponut  ","P",08/02/2022 8:59,0,1,1         ,2         ,"",0.023,<0>  ,0.008,<-4> [SBL] ,0.007,<-4> [SBL] ,"",<-4> [SCB] ,0.005,<-4> [SBL] ,10.6,<0>  ,
"lksponut  ","P",08/31/2022 9:00,0,1,1         ,1         ,"",0.015,<0>  ,0.011,<0>  ,0.007,<-4> [SBL] (CSM) ,"",<-4> [SCB] ,0.006,<0>  ,5.0,<0>  ,
"lksponut  ","P",08/31/2022 9:03,0,1,1         ,2         ,"",0.017,<0>  ,0.011,<0>  ,0.007,<-4> [SBL] (CSM) ,"",<-4> [SCB] ,0.008,<0>  ,5.5,<0>  ,
"lksponut  ","P",09/28/2022 9:05,0,1,1         ,1         ,"",0.019,<0>  ,0.01,<1> (CHB) ,0.007,<-4> [SBL] ,"",<-4> [SCB] ,0.005,<-4> [SBL] ,6.7,<0>  ,
"lksponut  ","P",09/28/2022 9:07,0,1,1         ,2         ,"",0.019,<0>  ,0.008,<1> (CHB) ,0.007,<-4> [SBL] ,"",<-4> [SCB] ,0.005,<-4> [SBL] ,6.2,<0>  ,
"lksponut  ","P",10/26/2022 9:35,0,1,1         ,1         ,"",0.008,<0>  ,0.037,<0>  ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] ,0.022,<0>  ,20.5,<0>  ,
"lksponut  ","P",10/26/2022 9:38,0,1,1         ,2         ,"",0.01,<0>  ,0.04,<0>  ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] ,0.026,<0>  ,20.6,<0>  ,

